Group of contracts,Type of contract,Operation type,Operation type,Code of Operation,initiator (System/Manual),Tech,
"Tier 1, Уровень группы контрактов, например deposit, withdrawal, transfer, trade PM, trade SM.","Tier 2 уровень контрактов. Контракт это новая сущность. Более детально можно посмотреть в этом документе.
https://docs.google.com/document/d/1cgi4KvnySJbKR-q-hR2PEUob4tEuqFlth77LSUXho0c/edit#",Tier 4,"Tier 4 Уровень action контракта, которые ведут к образовании транзакции или операции","Код операции, для простоты общения.",Инициатор выполниния транзакции (interface или руки разработчика),"OP_Type
Уникальный тдентификатор операции, не может меняться.",TX_Type
1. Deposit,1.1. Deposit via Wire transfer,1.1.1.1 Updating clinets balance by wire transfer,Updating clinets balance by wire transfer,1.1.1.1,Interface,_49,_37
1. Deposit,1.1. Deposit via Wire transfer,1.1.1.2 Updating clinets balance by wire transfer,Updating clinets balance by wire transfer,1.1.1.2,manual,,
1. Deposit,1.2. Deposit via Card,1.2.1.1 Creating deposit request by card,Creating deposit request by card,1.2.1.1,Interface,_21,_13
1. Deposit,1.2. Deposit via Card,1.2.1.2 Creating deposit request by card,Creating deposit request by card,1.2.1.2,manual,,
1. Deposit,1.2. Deposit via Card,1.2.2.1 Updating clinets balance by card,Updating clinets balance by card,1.2.2.1,Interface,_22,_14
1. Deposit,1.2. Deposit via Card,1.2.2.2 Updating clinets balance by card,Updating clinets balance by card,1.2.2.2,manual,,
2. Withdrawal,2.1 Withdrawal via Wire transfer,2.1.1.1 Creating withdrawal request,Creating withdrawal request,2.1.1.1,Interface,_42,_31
2. Withdrawal,2.1 Withdrawal via Wire transfer,2.1.1.2 Creating withdrawal request,Creating withdrawal request,2.1.1.2,manual,,
2. Withdrawal,2.1 Withdrawal via Wire transfer,2.1.2.1 Withdrawal complete,Withdrawal complete,2.1.2.1,Interface,_44,_33
2. Withdrawal,2.1 Withdrawal via Wire transfer,2.1.2.2 Withdrawal complete,Withdrawal complete,2.1.2.2,manual,,
2. Withdrawal,2.1 Withdrawal via Wire transfer,2.1.3.1 Withdrawal comission,Withdrawal comission,2.1.3.1,Interface,_45,_33
2. Withdrawal,2.1 Withdrawal via Wire transfer,2.1.3.2 Withdrawal comission,Withdrawal comission,2.1.3.2,manual,,
3. Emission,3.2. Emission of metals,3.2.1.1 Emission of tokens to issuers balance,Emission of tokens to issuers balance,3.2.1.1,Interface,_50,_38
3. Emission,3.2. Emission of metals,3.2.1.2 Emission of tokens to issuers balance,Emission of tokens to issuers balance,3.2.1.2,manual,,
3. Emission,3.3. Discharging of metals,3.3.1.1 Discharge tokens from issuers balance,Discharge tokens from issuers balance,3.3.1.1,Interface,_01,_01
3. Emission,3.3. Discharging of metals,3.3.1.2 Discharge tokens from issuers balance,Discharge tokens from issuers balance,3.3.1.2,manual,,
4. Transfers,4.1 Transfer from PM to SM,4.1.1.1 Transfer from PM to SM (metal),Transfer from PM to SM (metal),4.1.1.1,Interface,_39,_28
4. Transfers,4.1 Transfer from PM to SM,4.1.1.2 Transfer from PM to SM (metal),Transfer from PM to SM (metal),4.1.1.2,manual,,
4. Transfers,4.1 Transfer from PM to SM,4.1.2.1 Transfer from PM to SM (money),Transfer from PM to SM (money),4.1.2.1,Interface,_38,_27
4. Transfers,4.1 Transfer from PM to SM,4.1.2.2 Transfer from PM to SM (money),Transfer from PM to SM (money),4.1.2.2,manual,,
